0,30,52,64,si,s i\,0,0,0,0,0,50,50,127,0,0
30,44,52,64,sui,s uo,0,0,0,0,0,50,50,127,0,0
74,16,52,64,-,o,0,0,0,0,0,50,50,127,0,0
90,120,52,64,-,ei,0,0,0,0,0,50,50,127,0,0
210,30,52,64,-,i,0,0,0,0,0,50,50,127,0,0
240,30,52,64,-,ts\_h,0,0,0,0,0,50,50,127,0,0
270,91,57,64,qian,iE_r,0,0,0,0,0,50,50,127,0,0
361,119,57,64,-,@_n,0,0,0,0,0,50,50,127,0,0
480,29,57,64,-,u,0,0,0,0,0,50,50,127,0,0
510,90,62,64,wan,ua_n,0,0,0,0,0,50,50,127,0,0
600,30,62,64,-,-,0,0,0,0,0,50,50,127,0,0
630,120,49,64,-,z`,0,0,0,0,0,50,50,127,0,0
750,420,64,64,ren,@_n,0,0,0,0,0,50,50,127,0,0
1170,60,64,64,-,-,0,0,0,0,0,50,50,127,0,0
1230,180,62,64,ni,n i,0,0,0,0,0,50,50,127,0,0
1410,30,62,64,-,i,0,0,0,0,0,50,50,127,0,0
1440,30,62,64,-,u,0,0,0,0,0,50,50,127,0,0
1470,60,57,64,wo,u uo,0,0,0,0,0,50,50,127,0,0
1530,360,57,64,-,o,0,0,0,0,0,50,50,127,0,0
1890,60,57,64,-,o ts`,0,0,0,0,0,50,50,127,0,0
1950,390,62,64,zhi,i`,0,0,0,0,0,50,50,127,0,0
2340,30,62,64,-,-,0,0,0,0,0,50,50,127,0,0
2370,60,72,64,-,u,0,0,0,0,0,50,50,127,0,0
2430,60,64,64,wo,uo,0,0,0,0,0,50,50,127,0,0
2490,330,64,64,-,o,0,0,0,0,0,50,50,127,0,0
2820,30,64,64,-,o,0,0,0,0,0,50,50,127,0,0
2850,60,54,64,-,z`,0,0,0,0,0,50,50,127,0,0
2910,180,62,64,reng,@N,0,0,0,0,0,50,50,127,0,0
3090,60,62,64,-,n ts`,0,0,0,0,0,50,50,127,0,0
3150,120,67,64,zhi,i`,0,0,0,0,0,50,50,127,0,0
3270,30,67,64,-,-,0,0,0,0,0,50,50,127,0,0
3300,90,51,64,-,ts`,0,0,0,0,0,50,50,127,0,0
3390,150,64,64,zhuo,uo,0,0,0,0,0,50,50,127,0,0
3540,270,64,64,-,o,0,0,0,0,0,50,50,127,0,0
3810,60,64,64,-,o,0,0,0,0,0,50,50,127,0,0
3870,30,47,64,a,x,0,0,0,0,0,50,50,127,0,0
4110,180,59,64,xia,s\ ia,0,0,0,0,0,50,50,127,0,0
4290,60,59,64,-,a k_h,0,0,0,0,0,50,50,127,0,0
4350,30,60,64,ke,7,0,0,0,0,0,50,50,127,0,0
4380,30,60,64,-,-,0,0,0,0,0,50,50,127,0,0
4410,180,52,64,-,s\,0,0,0,0,0,50,50,127,0,0
4590,420,62,64,xing,iN,0,0,0,0,0,50,50,127,0,0
5010,60,62,64,-,n p,0,0,0,0,0,50,50,127,0,0
5070,91,60,64,bian,iE_r,0,0,0,0,0,50,50,127,0,0
5161,89,60,64,-,@_n,0,0,0,0,0,50,50,127,0,0
5250,30,60,64,-,n,0,0,0,0,0,50,50,127,0,0
5280,30,60,64,-,ts\,0,0,0,0,0,50,50,127,0,0
5310,46,55,64,jiu,iE_r,0,0,0,0,0,50,50,127,0,0
5356,360,55,64,-,@U,0,0,0,0,0,50,50,127,0,0
5717,40,55,64,-,u,0,0,0,0,0,50,50,127,0,0
5758,60,55,64,-,ts`,0,0,0,0,0,50,50,127,0,0
5818,62,60,64,zhou,@U,0,0,0,0,0,50,50,127,0,0
5880,300,60,64,-,@U,0,0,0,0,0,50,50,127,0,0
6180,28,60,64,-,u Asp,0,0,0,0,0,50,50,127,0,0
6240,30,43,64,a,7,0,0,0,0,0,50,50,127,0,0
6270,300,59,64,en,@_n,0,0,0,0,0,50,50,127,0,0
6570,60,59,64,-,-,0,0,0,0,0,50,50,127,0,0
6630,60,59,64,-,n ?,0,0,0,0,0,50,50,127,0,0
6690,60,59,64,-,ts`_h,0,0,0,0,0,50,50,127,0,0
6750,180,60,64,chou,@U,0,0,0,0,0,50,50,127,0,0
6930,60,60,64,-,u p,0,0,0,0,0,50,50,127,0,0
6990,180,59,64,ben,@_n,0,0,0,0,0,50,50,127,0,0
7170,60,59,64,-,n p,0,0,0,0,0,50,50,127,0,0
7230,180,57,64,bo,o,0,0,0,0,0,50,50,127,0,0
7410,270,57,64,-,o,0,0,0,0,0,50,50,127,0,0
7680,30,57,64,-,o,0,0,0,0,0,50,50,127,0,0
7950,167,60,64,dao,t a,0,0,0,0,0,50,50,127,0,0
8117,12,60,64,-,u,0,0,0,0,0,50,50,127,0,0
8130,60,60,64,-,u k,0,0,0,0,0,50,50,127,0,0
8190,150,62,64,guang,uAN,0,0,0,0,0,50,50,127,0,0
8340,30,62,64,-,-,0,0,0,0,0,50,50,127,0,0
8370,60,52,64,-,ts\,0,0,0,0,0,50,50,127,0,0
8430,59,64,64,jian,iE_r,0,0,0,0,0,50,50,127,0,0
8489,330,64,64,-,@_n,0,0,0,0,0,50,50,127,0,0
8820,60,64,64,-,-,0,0,0,0,0,50,50,127,0,0
8880,30,54,64,-,i,0,0,0,0,0,50,50,127,0,0
8910,240,62,64,ying,iN,0,0,0,0,0,50,50,127,0,0
9150,360,57,64,li,l i,0,0,0,0,0,50,50,127,0,0
9510,60,57,64,-,i,0,0,0,0,0,50,50,127,0,0
9570,60,47,64,-,s`,0,0,0,0,0,50,50,127,0,0
9630,420,60,64,shi,i`,0,0,0,0,0,50,50,127,0,0
10050,60,60,64,-,- s`,0,0,0,0,0,50,50,127,0,0
10110,420,59,64,shei,ei,0,0,0,0,0,50,50,127,0,0
10530,60,59,64,-,i t,0,0,0,0,0,50,50,127,0,0
10590,90,59,64,de,7,0,0,0,0,0,50,50,127,0,0
10680,30,59,64,-,-,0,0,0,0,0,50,50,127,0,0
10710,120,52,64,-,m,0,0,0,0,0,50,50,127,0,0
10830,180,60,64,ming,iN,0,0,0,0,0,50,50,127,0,0
11010,60,60,64,-,n m,0,0,0,0,0,50,50,127,0,0
11070,42,60,64,mou,@U,0,0,0,0,0,50,50,127,0,0
11112,153,60,64,-,@U,0,0,0,0,0,50,50,127,0,0
11265,14,60,64,-,u,0,0,0,0,0,50,50,127,0,0
11280,30,60,64,-,ts_h,0,0,0,0,0,50,50,127,0,0
